classe_dsgtools,atributo_dsgtools,code_dsgtools,value_dsgtools,classe_gothic,atributo_gothic,code_gothic,value_gothic,direcao
asb_edif_saneamento,situacaofisica,4,Planejada,Edif_Saneamento,situacaoFisica,0,Desconhecida,dsgtools>gothic
asb_edif_abast_agua,situacaofisica,4,Planejada,Edif_Abast_Agua,situacaoFisica,0,Desconhecida,dsgtools>gothic
hid_trecho_drenagem,coincidecomdentrode,15,Terreno sujeito a inundação,Trecho_Drenagem,coincideComDentroDe,,,dsgtools>gothic
lim_limite_area_especial,coincidecomdentrode,9,Massa D`Água,Limite_Area_Especial,coincideComDentroDe,,,dsgtools>gothic
lim_limite_intra_munic_adm,coincidecomdentrode,9,Massa D`Água,Limite_Intra_Munic_Adm,coincideComDentroDe,,,dsgtools>gothic
lim_limite_operacional,coincidecomdentrode,9,Massa D`Água,Limite_Operacional,coincideComDentroDe,,,dsgtools>gothic
lim_limite_particular,coincidecomdentrode,9,Massa D`Água,Limite_Particular,coincideComDentroDe,,,dsgtools>gothic
lim_limite_politico_adm,coincidecomdentrode,9,Massa D`Água,Limite_Politico_Adm,coincideComDentroDe,,,dsgtools>gothic
lim_linha_de_limite,coincidecomdentrode,9,Massa D`Água,Linha_De_Limite,coincideComDentroDe,,,dsgtools>gothic
lim_outros_limites_oficiais,coincidecomdentrode,9,Massa D`Água,Outros_Limites_Oficiais,coincideComDentroDe,,,dsgtools>gothic
lim_terra_indigena,situacaojuridica,0,Desconhecida,Terra_Indigena,situacaoJuridica,,,dsgtools>gothic
pto_pto_ref_geod_topo,referencialaltim,5,Outra referência,Pto_Ref_Geod_Topo,referencialAltim,6,Outra referÃªncia,
rel_elemento_fisiog_natural,tipoelemnat,8,Escarpa,Elemento_Fisiog_Natural,tipoElemNat,16,Escarpa,
rel_elemento_fisiog_natural,tipoelemnat,13,Falésia,Elemento_Fisiog_Natural,tipoElemNat,18,FalÃ©sia,
rel_elemento_fisiog_natural,tipoelemnat,14,Talude,Elemento_Fisiog_Natural,tipoElemNat,17,Talude,
rel_terreno_exposto,causaexposicao,0,Desconhecido,Terreno_Exposto,causaExposicao,,,dsgtools>gothic
tra_condutor_hidrico,posicaorelativa,4,Emerso,Condutor_Hidrico,posicaoRelativa,2,Na superficie,dsgtools>gothic
tra_condutor_hidrico,posicaorelativa,5,Submerso,Condutor_Hidrico,posicaoRelativa,6,Subterraneo,dsgtools>gothic
tra_funicular,situacaofisica,4,Planejada,Funicular,situacaoFisica,0,Desconhecida,dsgtools>gothic
tra_local_critico,tipolocalcrit,0,Desconhecido,Local_Critico,tipoLocalCrit,,,dsgtools>gothic
asb_edif_abast_agua,matconstr,5,Madeira,Edif_Abast_Agua,matConstr,0,Desconhecida,dsgtools>gothic
eco_ext_mineral,tipoprodutoresiduo,98,Misto,Ext_Mineral,tipoProdutoResiduo,0,Desconhecida,dsgtools>gothic
enc_est_gerad_energia_eletr,situacaofisica,3,Em Construção,Est_Gerad_Energia_Eletr,situacaoFisica,0,Desconhecida,dsgtools>gothic
loc_edif_habitacional,matconstr,4,Rocha,Edif_Habitacional,matConstr,0,Desconhecida,dsgtools>gothic
tra_atracadouro,matconstr,4,Rocha,Atracadouro,matConstr,0,Desconhecida,dsgtools>gothic
tra_trecho_ferroviario,posicaorelativa,0,Desconhecida,Trecho_Ferroviario,posicaoRelativa,2,Na superficie,dsgtools>gothic
hid_massa_dagua ,tipomassadagua ,0,Desconhecida,Massa_Dagua,tipoMassaDagua,99,Outros,gothic>dsgtools
hid_trecho_drenagem,coincidecomdentrode ,97,Nao aplicavel,Trecho_Drenagem,coincideComDentroDe,24,Linha de drenagem,gothic>dsgtools
hid_ponto_drenagem,relacionado,11,Laguna,Ponto_Drenagem,relacionado,110,Laguna (Jusante),gothic>dsgtools
hid_ponto_drenagem,relacionado,12,Represa,Ponto_Drenagem,relacionado,120,Represa/AÃ§ude (Jusante),gothic>dsgtools
enc_ponto_trecho_energia,tipoptoenergia ,0,Desconhecida,Ponto_Trecho_Energia,tipoPtoEnergia,7,MudanÃ§a de atributo,gothic>dsgtools
enc_ponto_trecho_energia,tipoptoenergia ,0,Desconhecida,Ponto_Trecho_Energia,tipoPtoEnergia,9,InÃ­cio ou fim de trecho,gothic>dsgtools
tra_eclusa,situacaofisica ,0,Desconhecida,Eclusa,situacaoFisica,4,Planejada,gothic>dsgtools
veg_veg_cultivada,cultivopredominante ,96,Nao identificado,Veg_Cultivada,cultivoPredominante,34,MamÃ£o,gothic>dsgtools
veg_veg_cultivada,cultivopredominante ,96,Nao identificado,Veg_Cultivada,cultivoPredominante,35,Manga,gothic>dsgtools
veg_veg_cultivada,cultivopredominante ,96,Nao identificado,Veg_Cultivada,cultivoPredominante,36,Coco,gothic>dsgtools
veg_veg_cultivada,cultivopredominante ,96,Nao identificado,Veg_Cultivada,cultivoPredominante,37,Goiaba,gothic>dsgtools
veg_veg_cultivada,cultivopredominante ,96,Nao identificado,Veg_Cultivada,cultivoPredominante,38,LimÃ£o,gothic>dsgtools
tra_tunel,posicaopista ,97,Nao aplicavel,Tunel,posicaoPista,16,Coincidente,gothic>dsgtools
tra_edif_constr_aeroportuaria,administracao ,0,Desconhecida,Edif_Const_Aeroportuaria,administracao,7,Concessionada,gothic>dsgtools
